TID|Class
T1223|INFO
T1223|DEBUG
T1223|WARNING
T1245|INFO
T1245|DEBUG
T1245|WARNING
T1243|ERROR
T1243|INFO
T1243|DEBUG
T1243|WARNING
T1221|INFO
T1221|DEBUG
T1221|WARNING
T1241|INFO
T1241|DEBUG
T1241|WARNING
T1209|ERROR
T1209|INFO
T1209|DEBUG
T1209|WARNING
T1207|INFO
T1207|DEBUG
T1207|WARNING
T1229|INFO
T1229|DEBUG
T1249|INFO
T1249|DEBUG
T1249|WARNING
T1227|ERROR
T1227|INFO
T1227|DEBUG
T1227|WARNING
T1247|INFO
T1247|DEBUG
T1225|ERROR
T1225|INFO
T1225|DEBUG
T1225|WARNING
T1235|INFO
T1235|DEBUG
T1235|WARNING
T1213|INFO
T1213|DEBUG
T1213|WARNING
T1233|ERROR
T1233|INFO
T1233|DEBUG
T1211|INFO
T1211|DEBUG
T1255|ERROR
T1255|INFO
T1255|DEBUG
T1255|WARNING
T1231|INFO
T1231|DEBUG
T1231|WARNING
T1253|ERROR
T1253|INFO
T1253|DEBUG
T1251|INFO
T1251|DEBUG
T1251|WARNING
T1219|ERROR
T1219|INFO
T1219|DEBUG
T1219|WARNING
T1239|INFO
T1239|DEBUG
T1239|WARNING
T1217|INFO
T1217|DEBUG
T1237|ERROR
T1237|INFO
T1237|DEBUG
T1237|WARNING
T1215|INFO
T1215|DEBUG
